sys.exec.out.time {s},rkt.newton.lonx {degree},rkt.newton.latx {degree},rkt.newton.alt {m},rkt.newton.psivdx {degree},rkt.newton.thtvdx {degree},rkt.newton.dvbi {m/s},rkt.newton.IPos[0] {m},rkt.newton.IPos[1] {m},rkt.newton.IPos[2] {m},rkt.newton.IVel[0] {m/s},rkt.newton.IVel[1] {m/s},rkt.newton.IVel[2] {m/s},rkt.kinematics.alphax {degree},rkt.kinematics.betax {degree},rkt.env.rho {kg/m3},rkt.env.vmach {--},rkt.env.pdynmc {pa},rkt.propulsion.vmass {kg},rkt.propulsion.fmassr {kg},rkt.propulsion.thrust {N}
                20.2,    120.896102072242,   22.13898077917592,   1492.877401392907,   88.35333144807957,   76.26757321529405,   486.6573566856613,  -3043214.100623067,   5068665.670976955,   2389328.490571381,  -466.4600346866449,  -127.7165958996872,   54.21153003010595,   2.468204901664007,-0.03170784960044881,   1.058868080968803,  0.4351495038923988,   11218.25734933868,   12272.37755500014,   7093.277555000142,    226592.820482055
                20.3,   120.8961357048478,   22.13898167977137,   1507.056698912755,   88.35143325228931,   76.21599910917045,    487.188480931354,  -3043260.778492094,   5068652.920956646,   2389333.926581994,  -467.0976573224768,  -127.2839080354465,   54.50872619387037,   2.458414445665964, -0.0315455168907109,   1.057378065773023,  0.4376664158554662,    11328.6875946252,   12263.48855500014,   7084.388555000143,   226630.7966928579
                20.4,    120.896169650302,   22.13898258979052,   1521.312325541861,   88.34954686279517,    76.1643333132824,   487.7224004734911,  -3043307.520216838,   5068640.214175739,   2389339.392325402,  -467.7371491161343,  -126.8518082554313,   54.80618580655706,   2.448705899614712,-0.03138442780388134,   1.055881653481111,  0.4401878073037396,   11439.56740364645,   12254.59955500014,   7075.499555000144,   226668.9232939809
                20.5,   120.8962039104339,   22.13898350929513,   1535.644334226847,   88.34767225674042,   76.11257751879754,   488.2591135494979,   -3043354.32598424,    5068627.55057529,   2389344.887827909,   -468.378510574812,  -126.4202994506501,   55.10390805260629,    2.43907933164342, -0.0312245797475494,   1.054378863455609,   0.442713690413948,   11550.89390363179,   12245.71055500015,   7066.610555000145,   226707.1996158805
                20.6,   120.8962384870743,   22.13898443834711,   1550.052777678706,   88.34580940748315,   76.06073340709838,   488.7986183231424,  -3043401.195981291,   5068614.930096054,   2389350.413115742,  -469.0217421678142,   -125.989384463504,   55.40189212462743,   2.429538426590726,-0.03077906964791928,   1.052869715209538,  0.4452440774482538,   11662.66419310465,   12236.82155500015,   7057.721555000146,   226745.6249847607
                20.7,    120.896273382056,   22.13898537700829,   1564.537708382122,   88.34395828082516,   76.00880264947345,     489.34091288636,  -3043448.130395028,   5068602.352678506,   2389355.968215038,   -469.666844327248,  -125.5590660890998,   55.70013722580781,   2.420079758664924,-0.03031394080212826,   1.051354228403973,  0.4477789807551946,   11774.87534196914,   12227.93255500015,   7048.832555000146,    226784.198722645
                20.8,   120.8963085972131,   22.13898632534064,   1579.099178608507,   88.34211884889633,   75.95678690678969,   489.8859952614241,  -3043495.129412528,   5068589.818262855,   2389361.553151866,  -470.3138174512017,  -125.1293470731985,    55.9986425620196,   2.410699370755048,-0.03014476758814729,   1.049832422846321,  0.4503184127705997,    11887.5243916056,   12219.04355500015,   7039.943555000147,   226822.9201474296
                20.9,   120.8963441343818,   22.13898728340613,   1593.737240386195,   88.34029108434753,   75.90468782922865,    490.433863402684,  -3043542.193220899,   5068577.326789021,   2389367.167952203,  -470.9626619041557,  -124.7002301138274,   56.29740734521419,   2.401400920373647,-0.02997701324542081,   1.048304318493649,  0.4528623860182588,   12000.60835502529,   12210.15455500015,   7031.054555000148,   226861.7885728093
                  21,   120.8963799953995,   22.13898825126678,   1608.451945540495,   88.33847495704325,    75.8525070560373,   490.9845151983248,  -3043589.322007298,   5068564.878196667,   2389372.812641958,  -471.6133780176929,  -124.2717178624531,   56.59643079549781,   2.392184328151721,-0.02981057451587278,   1.046769935447251,  0.4554109131110168,   12114.12421692806,   12201.26555500015,   7022.165555000149,   226900.8033084249
                21.1,   120.8964161821053,   22.13898922898465,   1623.243345682509,   88.33667043551466,   75.80024621528608,   491.5379484722029,  -3043636.515958904,   5068552.472425197,   2389378.487246958,  -472.2659660918646,  -123.8438129242374,   56.89571214042609,   2.383049487447465,-0.02964544516617369,   1.045229293954318,  0.4579640067515209,   12228.06893384168,   12192.37655500015,    7013.27655500015,   226939.9636598312
