sys.exec.out.time {s},rkt.dynamics.lonx {degree},rkt.dynamics.latx {degree},rkt.dynamics.alt {m},rkt.dynamics._dvbi {m/s},rkt.dynamics._SBII[0] {m},rkt.dynamics._SBII[1] {m},rkt.dynamics._SBII[2] {m},rkt.dynamics._VBII[0] {m/s},rkt.dynamics._VBII[1] {m/s},rkt.dynamics._VBII[2] {m/s},rkt.dynamics.thtbdx {degree}
               102.7,   120.9249541663898,   22.13870188122407,   60920.61010983307,   1791.254902479235,   5218174.050491312,  -2901651.710800598,   2402856.592018093,    1644.83705615995,  -303.0444195058524,   641.3027866346181,   86.90553222443363
               102.8,   120.9250496678271,   22.13870155330859,   61091.60013260879,   1791.811120452469,   5218338.560300151,  -2901682.018904125,   2402920.729758512,   1645.351478891706,  -303.0872442827835,   641.5167376141301,   86.92485771470957
               102.9,   120.9251454103928,   22.13870125666567,   61262.64194937702,    1792.34268476692,   5218503.124106496,  -2901712.324991636,   2402984.890187193,   1645.824062406337,  -303.2283022327606,   641.7227220278477,   86.82573362959866
                 103,   120.9252411782586,   22.13870097176764,   61433.73690544628,   1792.860910190162,   5218667.732763055,  -2901742.649750835,   2403049.071803437,   1646.273721464358,  -303.4239673181464,   641.9244296338193,   86.74252805456963
               103.1,   120.9253369064198,   22.13870068893457,    61604.8855162384,   1793.380840877398,   5218832.383727388,  -2901772.999568931,   2403113.273803064,   1646.726231736694,  -303.6187147789171,   642.1240021774522,   86.71668946242472
               103.2,   120.9254326310135,   22.13870040484441,   61776.08768776339,   1793.907514525243,   5218997.078922254,  -2901803.371098111,   2403177.495803572,   1647.190064073205,  -303.7931980547539,   642.3229377068149,   86.72591932978216
               103.3,   120.9255284030916,    22.1387001194802,   61947.34323123656,   1794.439039129644,   5219161.820734957,    -2901833.7596893,   2403241.737728291,   1647.661574476099,  -303.9540302021633,   642.5221775715812,    86.7394373740855
               103.4,   120.9256242435856,     22.138699833541,   62118.65212478209,   1794.972258144326,   5219326.610229354,  -2901864.163328007,   2403305.999639704,    1648.13508868864,  -304.1128646851445,   642.7219480257576,   86.74373187476024
               103.5,   120.9257201508308,   22.13869954725329,   62290.01449162699,   1795.505633618317,   5219491.447367067,  -2901894.582298081,   2403370.281607782,   1648.607919133754,  -304.2754105974231,   642.9221444547993,   86.74037048902301
               103.6,   120.9258161145018,   22.13869926035401,   62461.43049478624,   1796.039225268665,   5219656.331813848,   -2901925.01753327,   2403434.583667246,   1649.080222076809,  -304.4414560913017,   643.1226319076146,   86.73520141171338
               103.7,   120.9259121300965,   22.13869897242723,   62632.90027322993,   1796.573620047105,   5219821.263423778,  -2901955.469596288,   2403498.905827623,   1649.553056080053,  -304.6088203379275,   643.3233665882619,   86.73164833058109
               103.8,   120.9260081964544,   22.13869868315424,   62804.42393492162,   1797.109195971104,   5219986.242284467,  -2901985.938562626,   2403563.248096452,   1650.027081762213,  -304.7760795673223,   643.5243841679635,   86.72994142900156
